09:37:08.967 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
09:37:10.389 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
09:37:10.540 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 140 ms. Found 8 JPA repository interfaces.
09:37:11.469 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
09:37:11.489 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
09:37:11.492 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
09:37:11.492 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
09:37:11.572 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
09:37:11.572 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2443 ms
09:37:11.728 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
09:37:11.806 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
09:37:11.853 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
09:37:12.160 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
09:37:12.175 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
09:37:12.471 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@4e7bc939
09:37:12.478 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
09:37:12.574 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
09:37:13.885 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
09:37:14.309 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
09:37:14.881 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
09:37:15.321 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
09:37:15.628 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@9a00385, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7f4ae871, org.springframework.security.web.context.SecurityContextHolderFilter@340b7fca, org.springframework.security.web.header.HeaderWriterFilter@5cb6fac3, org.springframework.web.filter.CorsFilter@1cc9b564, org.springframework.security.web.authentication.logout.LogoutFilter@69e636cc, pe.edu.upc.TFFinanzas.config.JwtAuthenticationFilter@5ae67f05, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2978d342, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7dbf92aa, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2ce80c85, org.springframework.security.web.session.SessionManagementFilter@4ef6177c, org.springframework.security.web.access.ExceptionTranslationFilter@1b13e4fb, org.springframework.security.web.access.intercept.AuthorizationFilter@3c2956a6]
09:37:15.878 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
09:37:15.910 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
09:47:14.558 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
09:47:15.910 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
09:47:16.070 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 153 ms. Found 8 JPA repository interfaces.
09:47:16.987 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
09:47:17.003 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
09:47:17.003 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
09:47:17.003 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
09:47:17.091 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
09:47:17.091 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2383 ms
09:47:17.279 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
09:47:17.357 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
09:47:17.404 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
09:47:17.799 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
09:47:17.830 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
09:47:18.145 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@3095d401
09:47:18.224 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
09:47:18.318 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
09:47:19.783 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
09:47:20.002 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
09:47:20.758 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
09:47:21.320 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
09:47:21.760 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3c2956a6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7172525e, org.springframework.security.web.context.SecurityContextHolderFilter@4ef6177c, org.springframework.security.web.header.HeaderWriterFilter@16486ab3, org.springframework.web.filter.CorsFilter@698b2343, org.springframework.security.web.authentication.logout.LogoutFilter@7ff395fa, pe.edu.upc.TFFinanzas.config.JwtAuthenticationFilter@2446be5f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2aafd790, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@340b7fca, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@9a00385, org.springframework.security.web.session.SessionManagementFilter@316745d8, org.springframework.security.web.access.ExceptionTranslationFilter@6fb8cfa7, org.springframework.security.web.access.intercept.AuthorizationFilter@339d5e8]
09:47:22.035 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
09:47:22.071 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
09:47:39.137 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
09:47:39.137 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
09:47:39.137 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
18:06:34.024 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
18:06:37.345 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
18:06:37.546 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 158 ms. Found 8 JPA repository interfaces.
18:06:39.234 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
18:06:39.267 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
18:06:39.274 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
18:06:39.274 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
18:06:39.512 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
18:06:39.515 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5295 ms
18:06:40.086 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
18:06:40.355 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
18:06:40.466 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
18:06:41.554 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
18:06:41.657 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
18:06:42.229 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@acb5508
18:06:42.234 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
18:06:42.369 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
18:06:44.638 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
18:06:45.385 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
18:06:46.546 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
18:06:47.426 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
18:06:48.308 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3701acee, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7ad0d002, org.springframework.security.web.context.SecurityContextHolderFilter@4e92c6c2, org.springframework.security.web.header.HeaderWriterFilter@3df920, org.springframework.web.filter.CorsFilter@76a5a831, org.springframework.security.web.authentication.logout.LogoutFilter@7172525e, pe.edu.upc.TFFinanzas.config.JwtAuthenticationFilter@151f1734, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@66032b8d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7c1a5092, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@63064672, org.springframework.security.web.session.SessionManagementFilter@70a9f4b7, org.springframework.security.web.access.ExceptionTranslationFilter@194feb27, org.springframework.security.web.access.intercept.AuthorizationFilter@302fa67a]
18:06:48.949 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
18:06:49.031 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
18:06:57.167 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
18:06:57.167 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
18:06:57.167 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
